"","country","year","urban_pop_percent","urban_growth","rural_growth","cap_city_pop","cap_percent_pop","cap_percent_urban","fertility_rate","infant_morality_per_thousand","life_exp","gender_ratio_lifeexp","continent","region","capital_pop","capital_pop_sign","capital_pop1","sign"
"744","Sierra Leone","2018",42.1,NA,NA,"1,136",NA,NA,4.4,82.1,58.7,0.961538461538462,"Africa","Sub-Saharan Africa",NA,"0",1,"missing"
"745","Singapore","2005",100,2.8,0,"4,491",100,100,NA,NA,NA,NA,"Asia","South-eastern Asia",NA,"0",1,"1"
"746","Singapore","2010",100,2.4,0,"5,074",100,100,1.2,2.2,81.7,0.944047619047619,"Asia","South-eastern Asia",NA,"0",1,"1"
"747","Singapore","2015",100,1.7,0,"5,535",100,100,1.2,2.1,82.8,0.948235294117647,"Asia","South-eastern Asia",NA,"0",1,"1"
"748","Singapore","2018",100,NA,NA,"5,792",NA,NA,1,2,83.2,0.94847775175644,"Asia","South-eastern Asia",NA,"0",1,"missing"
"749","Sint Maarten (Dutch part)","2005",100,0.4,0,NA,NA,NA,NA,NA,NA,NA,"Americas","Latin America and the Caribbean",NA,"0",1,"1"
"750","Sint Maarten (Dutch part)","2010",100,0.4,0,NA,NA,NA,1.8,15.1,75.1,0.92948717948718,"Americas","Latin America and the Caribbean",NA,"0",1,"1"
"751","Sint Maarten (Dutch part)","2015",100,3.1,0,NA,NA,NA,1.7,11.9,77,0.918114143920596,"Americas","Latin America and the Caribbean",NA,"0",1,"1"
"752","Sint Maarten (Dutch part)","2018",100,NA,NA,"41",NA,NA,NA,NA,NA,NA,"Americas","Latin America and the Caribbean",41,"1",41,"missing"
"753","Slovakia","2005",55.6,-0.2,0.3,"426",7.9,14.2,NA,NA,NA,NA,"Europe","Eastern Europe",426,"1",426,"1"
"754","Slovakia","2010",54.7,-0.3,0.4,"414",7.7,14,1.4,5.7,75.5,0.90530303030303,"Europe","Eastern Europe",414,"1",414,"1"
"755","Slovakia","2015",53.9,-0.2,0.5,"422",7.8,14.4,1.4,5.1,76.6,0.912609238451935,"Europe","Eastern Europe",422,"1",422,"1"
"756","Slovakia","2018",53.7,NA,NA,"430",NA,NA,1.5,4.5,77.2,0.915632754342432,"Europe","Eastern Europe",430,"1",430,"missing"
"757","Slovenia","2005",51.5,0.4,-0.2,NA,NA,NA,NA,NA,NA,NA,"Europe","Southern Europe",NA,"0",1,"0"
"758","Slovenia","2010",52.7,0.9,0,NA,NA,NA,1.6,2.5,79.7,0.92503022974607,"Europe","Southern Europe",NA,"0",1,"1"
"759","Slovenia","2015",53.8,0.7,-0.2,NA,NA,NA,1.6,1.7,80.8,0.933014354066986,"Europe","Southern Europe",NA,"0",1,"0"
"760","Slovenia","2018",54.5,NA,NA,"286",NA,NA,1.6,1.9,81.1,0.93436754176611,"Europe","Southern Europe",286,"1",286,"missing"
"761","Solomon Islands","2005",17.8,5,2.1,NA,NA,NA,NA,NA,NA,NA,"Oceania","Melanesia",NA,"0",1,"1"
"762","Solomon Islands","2010",20,4.7,1.8,NA,NA,NA,4.4,22,68.7,0.95042492917847,"Oceania","Melanesia",NA,"0",1,"1"
"763","Solomon Islands","2015",22.4,4.3,1.6,NA,NA,NA,4.4,19.1,69.6,0.956460674157303,"Oceania","Melanesia",NA,"0",1,"1"
"764","Solomon Islands","2018",23.7,NA,NA,"82",NA,NA,4.2,18,70,0.958100558659218,"Oceania","Melanesia",82,"1",82,"missing"
"765","Somalia","2005",36.3,4.6,1.9,"1,415",13.6,37.4,NA,NA,NA,NA,"Africa","Sub-Saharan Africa",NA,"0",1,"1"
"766","Somalia","2010",39.3,4.5,2,"1,353",11.2,28.6,7.3,102.5,50.6,0.927619047619048,"Africa","Sub-Saharan Africa",NA,"0",1,"1"
"767","Somalia","2015",43.2,4.8,1.5,"1,783",12.8,29.6,7,83.9,54.9,0.929701230228471,"Africa","Sub-Saharan Africa",NA,"0",1,"1"
"768","Somalia","2018",45,NA,NA,"2,082",NA,NA,6.7,79.8,55.7,0.927335640138408,"Africa","Sub-Saharan Africa",NA,"0",1,"missing"
"769","South Africa","2005",59.5,2.2,0,"1,334",2.7,4.6,NA,NA,NA,NA,"Africa","Sub-Saharan Africa",NA,"0",1,"1"
"770","South Africa","2010",62.2,2,-0.3,"1,666",3.2,5.2,2.4,35.1,58.9,0.915171288743883,"Africa","Sub-Saharan Africa",NA,"0",1,"0"
"771","South Africa","2015",64.8,2.2,0,"2,081",3.8,5.8,2.4,27.8,64,0.908682634730539,"Africa","Sub-Saharan Africa",NA,"0",1,"1"
"772","South Africa","2018",66.4,NA,NA,"2,378",NA,NA,2.3,23.4,65.4,0.906432748538012,"Africa","Sub-Saharan Africa",NA,"0",1,"missing"
"773","South Sudan","2005",17.2,4.6,3.7,"202",2.5,14.5,NA,NA,NA,NA,"Africa","Sub-Saharan Africa",202,"1",202,"1"
"774","South Sudan","2010",17.9,5.1,4.2,"255",2.5,14.2,5.4,69.4,54.8,0.96236559139785,"Africa","Sub-Saharan Africa",255,"1",255,"1"
"775","South Sudan","2015",18.9,4.4,3.1,"321",2.7,14.3,4.9,63.8,55.6,0.942307692307692,"Africa","Sub-Saharan Africa",321,"1",321,"1"
"776","South Sudan","2018",19.6,NA,NA,"369",NA,NA,4.8,63.9,55.3,0.936952714535902,"Africa","Sub-Saharan Africa",369,"1",369,"missing"
"777","Spain","2005",77.3,1.7,0.6,"5,383",12.2,15.8,NA,NA,NA,NA,"Europe","Southern Europe",NA,"0",1,"1"
"778","Spain","2010",78.4,1.5,0.1,"5,787",12.4,15.8,1.4,3.2,82,0.929411764705882,"Europe","Southern Europe",NA,"0",1,"1"
"779","Spain","2015",79.6,0.1,-1.3,"6,221",13.4,16.8,1.3,2.6,82.6,0.93559718969555,"Europe","Southern Europe",NA,"0",1,"0"
"780","Spain","2018",80.3,NA,NA,"6,497",NA,NA,1.3,2.7,83,0.936989498249708,"Europe","Southern Europe",NA,"0",1,"missing"
"781","Sri Lanka","2005",18.3,0.7,0.8,"614",3.1,17.2,NA,NA,NA,NA,"Asia","Southern Asia",614,"1",614,"1"
"782","Sri Lanka","2010",18.2,0.6,0.7,"574",2.8,15.6,2.2,9.7,73.2,0.891752577319588,"Asia","Southern Asia",574,"1",574,"1"
"783","Sri Lanka","2015",18.3,0.5,0.5,"581",2.8,15.4,2.1,7.5,74.9,0.89873417721519,"Asia","Southern Asia",581,"1",581,"1"
"784","Sri Lanka","2018",18.5,NA,NA,"600",NA,NA,2.1,6.9,75.4,0.901639344262295,"Asia","Southern Asia",600,"1",600,"missing"
"785","State of Palestine","2005",73.1,2.4,1.3,NA,NA,NA,NA,NA,NA,NA,"Asia","Western Asia",NA,"0",1,"1"
"786","State of Palestine","2010",74.1,2.9,1.7,NA,NA,NA,4.4,18.6,73,0.944074567243675,"Asia","Western Asia",NA,"0",1,"1"
"787","State of Palestine","2015",75.4,3.1,1.8,NA,NA,NA,4,16.4,74.4,0.947643979057592,"Asia","Western Asia",NA,"0",1,"1"
"788","State of Palestine","2018",76.2,NA,NA,"275",NA,NA,3.8,15.4,74.8,0.945383615084525,"Asia","Western Asia",275,"1",275,"missing"
"789","Sudan","2005",32.8,2.7,2.4,"3,979",12.9,39.3,NA,NA,NA,NA,"Africa","Northern Africa",NA,"0",1,"1"
"790","Sudan","2010",33.1,2.3,2,"4,517",13.1,39.7,5,50.7,63,0.926717557251908,"Africa","Northern Africa",NA,"0",1,"1"
"791","Sudan","2015",33.9,2.8,2.1,"5,128",13.3,39.2,4.9,45.3,64.7,0.922734026745914,"Africa","Northern Africa",NA,"0",1,"1"
"792","Sudan","2018",34.6,NA,NA,"5,534",NA,NA,4.8,43.1,65.4,0.926470588235294,"Africa","Northern Africa",NA,"0",1,"missing"
"793","Suriname","2005",66.7,1.2,1,NA,NA,NA,NA,NA,NA,NA,"Americas","Latin America and the Caribbean",NA,"0",1,"1"
"794","Suriname","2010",66.3,1,1.3,NA,NA,NA,2.6,20.5,69.9,0.903532608695652,"Americas","Latin America and the Caribbean",NA,"0",1,"1"
"795","Suriname","2015",66.1,0.9,1.2,NA,NA,NA,2.5,18.1,70.8,0.911051212938005,"Americas","Latin America and the Caribbean",NA,"0",1,"1"
"796","Suriname","2018",66.1,NA,NA,"239",NA,NA,2.4,17.1,72.4,0.914134742404227,"Americas","Latin America and the Caribbean",239,"1",239,"missing"
"797","Sweden","2005",84.3,0.4,0,"1,248",13.8,16.4,NA,NA,NA,NA,"Europe","Northern Europe",NA,"0",1,"1"
"798","Sweden","2010",85.1,0.9,-0.2,"1,360",14.5,17,2,2.6,81.5,0.952095808383233,"Europe","Northern Europe",NA,"0",1,"0"
"799","Sweden","2015",86.6,1.1,-1.3,"1,495",15.3,17.7,1.8,2.4,82.2,0.955952380952381,"Europe","Northern Europe",NA,"0",1,"0"
"800","Sweden","2018",87.4,NA,NA,"1,583",NA,NA,1.8,2.4,82.4,0.959571938168847,"Europe","Northern Europe",NA,"0",1,"missing"
"801","Switzerland","2005",73.5,0.7,0.6,"367",5,6.7,NA,NA,NA,NA,"Europe","Western Europe",367,"1",367,"1"
"802","Switzerland","2010",73.6,1.1,1,"387",4.9,6.7,1.5,3.9,82.3,0.947867298578199,"Europe","Western Europe",387,"1",387,"1"
"803","Switzerland","2015",73.7,1.2,1.1,"409",4.9,6.7,1.5,4,82.8,0.950530035335689,"Europe","Western Europe",409,"1",409,"1"
"804","Switzerland","2018",73.8,NA,NA,"422",NA,NA,1.5,3.6,83.4,0.953161592505855,"Europe","Western Europe",422,"1",422,"missing"
"805","Syrian Arab Republic","2005",53.8,2.9,1.4,"2,200",12,22.4,NA,NA,NA,NA,"Asia","Western Asia",NA,"0",1,"1"
"806","Syrian Arab Republic","2010",55.6,3.4,2,"2,401",11.4,20.5,3.4,15.9,73.9,0.930899608865711,"Asia","Western Asia",NA,"0",1,"1"
"807","Syrian Arab Republic","2015",52.2,-3.6,-0.8,"2,223",11.9,22.7,3,25.1,65.1,0.860795454545454,"Asia","Western Asia",NA,"0",1,"0"
"808","Syrian Arab Republic","2018",54.2,NA,NA,"2,320",NA,NA,2.9,18.5,68.5,0.841121495327103,"Asia","Western Asia",NA,"0",1,"missing"
"809","Tajikistan","2005",26.5,2,2,"640",9.3,35.2,NA,NA,NA,NA,"Asia","Central Asia",640,"1",640,"1"
"810","Tajikistan","2010",26.5,2.2,2.2,"721",9.4,35.6,3.5,36.5,67.7,0.928977272727273,"Asia","Central Asia",721,"1",721,"1"
"811","Tajikistan","2015",26.7,2.4,2.2,"812",9.5,35.5,3.5,32.1,69.3,0.931849791376912,"Asia","Central Asia",812,"1",812,"1"
"812","Tajikistan","2018",27.1,NA,NA,"873",NA,NA,3.3,30.4,69.9,0.936376210235132,"Asia","Central Asia",873,"1",873,"missing"
"813","Thailand","2005",37.4,4.3,-1.1,"7,272",11.1,29.7,NA,NA,NA,NA,"Asia","South-eastern Asia",NA,"0",1,"0"
"814","Thailand","2010",43.9,3.7,-1.6,"8,269",12.3,28.1,1.6,11.6,76.1,0.896766169154229,"Asia","South-eastern Asia",NA,"0",1,"0"
"815","Thailand","2015",47.7,2.1,-1,"9,403",13.7,28.7,1.5,9.2,77.7,0.896341463414634,"Asia","South-eastern Asia",NA,"0",1,"0"
"816","Thailand","2018",49.9,NA,NA,"10,156",NA,NA,1.4,8.4,78.4,0.893848009650181,"Asia","South-eastern Asia",NA,"0",1,"missing"
"817","TFYR of Macedonia","2005",57.5,-0.1,0.7,"485",23.6,40.9,NA,NA,NA,NA,"Europe","Southern Europe",485,"1",485,"1"
"818","TFYR of Macedonia","2010",57.1,-0.1,0.3,"521",25.2,44.1,NA,NA,NA,NA,"Europe","Southern Europe",521,"1",521,"1"
"819","TFYR of Macedonia","2015",57.4,0.2,-0.1,"560",26.9,46.9,NA,NA,NA,NA,"Europe","Southern Europe",560,"1",560,"0"
"820","TFYR of Macedonia","2018",58,NA,NA,"584",NA,NA,NA,NA,NA,NA,"Europe","Southern Europe",584,"1",584,"missing"
"821","Timor-Leste","2005",26,4.7,2.8,NA,NA,NA,NA,NA,NA,NA,"Asia","South-eastern Asia",NA,"0",1,"1"
"822","Timor-Leste","2010",27.7,2.8,1.1,NA,NA,NA,4.8,47.3,65.3,0.952238805970149,"Asia","South-eastern Asia",NA,"0",1,"1"
"823","Timor-Leste","2015",29.5,3.5,1.7,NA,NA,NA,3.9,39.8,67.1,0.950653120464441,"Asia","South-eastern Asia",NA,"0",1,"1"
"824","Timor-Leste","2018",30.6,NA,NA,"281",NA,NA,3.6,37.3,67.7,0.953890489913545,"Asia","South-eastern Asia",281,"1",281,"missing"
"825","Togo","2005",35.2,4,2,"1,315",23.1,65.8,NA,NA,NA,NA,"Africa","Sub-Saharan Africa",NA,"0",1,"1"
"826","Togo","2010",37.5,4,2,"1,466",22.6,60.1,5,60.2,57.3,0.996515679442509,"Africa","Sub-Saharan Africa",NA,"0",1,"1"
"827","Togo","2015",40.1,4,1.8,"1,635",22,55,4.6,52.4,59.4,0.993288590604027,"Africa","Sub-Saharan Africa",NA,"0",1,"1"
"828","Togo","2018",41.7,NA,NA,"1,746",NA,NA,4.5,49.6,60.2,0.988429752066116,"Africa","Sub-Saharan Africa",NA,"0",1,"missing"
"829","Tokelau","2005",0,0,-5,NA,NA,NA,NA,NA,NA,NA,"Oceania","Polynesia",NA,"0",1,"0"
"830","Tokelau","2010",0,0,-1.2,NA,NA,NA,3.3,7.8,73.9,0.975871313672922,"Oceania","Polynesia",NA,"0",1,"0"
"831","Tokelau","2015",0,0,1.9,NA,NA,NA,3,6,74.7,0.9800796812749,"Oceania","Polynesia",NA,"0",1,"1"
"832","Tokelau","2018",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Oceania","Polynesia",NA,"0",1,"missing"
"833","Tonga","2005",23.2,0.7,0.6,NA,NA,NA,NA,NA,NA,NA,"Oceania","Polynesia",NA,"0",1,"1"
"834","Tonga","2010",23.4,0.8,0.5,NA,NA,NA,3.9,11.3,70.3,0.920980926430518,"Oceania","Polynesia",NA,"0",1,"1"
"835","Tonga","2015",23.3,0.3,0.5,NA,NA,NA,3.6,10.7,70.6,0.923809523809524,"Oceania","Polynesia",NA,"0",1,"1"
"836","Tonga","2018",23.1,NA,NA,"23",NA,NA,3.4,10.4,70.7,0.925271739130435,"Oceania","Polynesia",23,"1",23,"missing"
"837","Trinidad and Tobago","2005",55,0.1,0.9,"547",42.2,76.8,NA,NA,NA,NA,"Americas","Latin America and the Caribbean",547,"1",547,"1"
"838","Trinidad and Tobago","2010",54,0.1,0.9,"546",41.1,76.1,1.7,19.9,72.7,0.910643889618923,"Americas","Latin America and the Caribbean",546,"1",546,"1"
"839","Trinidad and Tobago","2015",53.3,0.2,0.8,"545",40.1,75.2,1.7,17.2,74.5,0.912708600770218,"Americas","Latin America and the Caribbean",545,"1",545,"1"
"840","Trinidad and Tobago","2018",53.2,NA,NA,"544",NA,NA,1.7,16.2,74.2,0.911196911196911,"Americas","Latin America and the Caribbean",544,"1",544,"missing"
"841","Tunisia","2005",65.2,1.4,-0.2,"1,859",18.4,28.2,NA,NA,NA,NA,"Africa","Northern Africa",NA,"0",1,"0"
"842","Tunisia","2010",66.7,1.5,0.2,"2,014",18.9,28.4,2.1,15.6,75.4,0.923664122137405,"Africa","Northern Africa",NA,"0",1,"1"
"843","Tunisia","2015",68.1,1.6,0.3,"2,183",19.4,28.5,2.3,14.6,75.7,0.922686945500634,"Africa","Northern Africa",NA,"0",1,"1"
"844","Tunisia","2018",68.9,NA,NA,"2,291",NA,NA,2.2,14.5,75.8,0.920353982300885,"Africa","Northern Africa",NA,"0",1,"missing"
"845","Turkey","2005",67.8,2.4,-0.4,"3,638",5.4,7.9,NA,NA,NA,NA,"Asia","Western Asia",NA,"0",1,"0"
"846","Turkey","2010",70.8,2.1,-0.7,"4,166",5.8,8.1,2.1,15.3,75.1,0.919437340153453,"Asia","Western Asia",NA,"0",1,"0"
"847","Turkey","2015",73.6,2.4,-0.4,"4,633",5.9,8,2.2,11,76.6,0.921052631578947,"Asia","Western Asia",NA,"0",1,"0"
"848","Turkey","2018",75.1,NA,NA,"4,919",NA,NA,2.1,9.7,77.1,0.921544209215442,"Asia","Western Asia",NA,"0",1,"missing"
"849","Turkmenistan","2005",47.1,1.5,0.6,"592",12.4,26.4,NA,NA,NA,NA,"Asia","Central Asia",592,"1",592,"1"
"850","Turkmenistan","2010",48.5,2,0.8,"668",13.1,27.1,2.8,36.8,68.3,0.906424581005587,"Asia","Central Asia",668,"1",668,"1"
"851","Turkmenistan","2015",50.3,2.5,1.1,"753",13.5,26.9,2.9,36.1,68.8,0.905817174515235,"Asia","Central Asia",753,"1",753,"1"
"852","Turkmenistan","2018",51.6,NA,NA,"810",NA,NA,2.8,36.5,68.9,0.908587257617728,"Asia","Central Asia",810,"1",810,"missing"
"853","Turks and Caicos Islands","2001",85.4,NA,NA,"0",NA,NA,NA,NA,NA,NA,"Americas","Latin America and the Caribbean",0,"1",0,"missing"
"854","Turks and Caicos Islands","2005",87.7,7.5,2.1,NA,NA,NA,NA,NA,NA,NA,"Americas","Latin America and the Caribbean",NA,"0",1,"1"
"855","Turks and Caicos Islands","2010",90.2,3.7,-1.4,NA,NA,NA,1.7,10.5,76.2,0.93173198482933,"Americas","Latin America and the Caribbean",NA,"0",1,"0"
"856","Turks and Caicos Islands","2015",92.2,2.5,-2.4,NA,NA,NA,1.7,7.2,76.9,0.935929648241206,"Americas","Latin America and the Caribbean",NA,"0",1,"0"
"857","Turks and Caicos Islands","2018",93.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Americas","Latin America and the Caribbean",NA,"0",1,"missing"
"858","Tuvalu","2005",49.7,2.8,-0.2,NA,NA,NA,NA,NA,NA,NA,"Oceania","Polynesia",NA,"0",1,"0"
"859","Tuvalu","2010",54.8,2.9,-1.2,NA,NA,NA,3.5,25.6,64,0.895125553914328,"Oceania","Polynesia",NA,"0",1,"0"
"860","Tuvalu","2015",59.7,2.6,-1.4,NA,NA,NA,3.2,21.5,64.1,0.885797950219619,"Oceania","Polynesia",NA,"0",1,"0"
"861","Tuvalu","2018",62.4,NA,NA,"7",NA,NA,NA,NA,NA,NA,"Oceania","Polynesia",7,"1",7,"missing"
"862","Uganda","2005",17,6.2,2.9,"1,576",5.5,32.6,NA,NA,NA,NA,"Africa","Sub-Saharan Africa",NA,"0",1,"1"
"863","Uganda","2010",19.4,6.1,2.9,"2,016",5.9,30.7,6.1,51.8,57.1,0.938775510204082,"Africa","Sub-Saharan Africa",NA,"0",1,"1"
"864","Uganda","2015",22.1,6,2.7,"2,577",6.4,29.1,5.3,39.4,61.1,0.938095238095238,"Africa","Sub-Saharan Africa",NA,"0",1,"1"
"865","Uganda","2018",23.8,NA,NA,"2,986",NA,NA,5.1,35.8,62.1,0.9390625,"Africa","Sub-Saharan Africa",NA,"0",1,"missing"
"866","Ukraine","2005",67.8,-0.6,-1.2,"2,673",5.7,8.4,NA,NA,NA,NA,"Europe","Eastern Europe",NA,"0",1,"0"
"867","Ukraine","2010",68.6,-0.2,-1,"2,795",6.1,8.9,1.4,8.4,70.6,0.871352785145889,"Europe","Eastern Europe",NA,"0",1,"0"
"868","Ukraine","2015",69.1,-0.4,-0.8,"2,895",6.5,9.4,1.5,6.7,73.5,0.869897959183673,"Europe","Eastern Europe",NA,"0",1,"0"
"869","Ukraine","2018",69.4,NA,NA,"2,957",NA,NA,1.4,6,74.7,0.870765370138018,"Europe","Eastern Europe",NA,"0",1,"missing"
"870","United Arab Emirates","2005",82.3,8,5.3,"655",14.3,17.4,NA,NA,NA,NA,"Asia","Western Asia",655,"1",655,"1"
"871","United Arab Emirates","2010",84.1,12.3,9.7,"912",11,13.1,1.8,7.4,78.3,0.953865336658354,"Asia","Western Asia",912,"1",912,"1"
"872","United Arab Emirates","2015",85.7,2.4,-0.1,"1,203",13.1,15.3,1.5,6.5,79.2,0.955665024630542,"Asia","Western Asia",NA,"0",1,"0"
"873","United Arab Emirates","2018",86.5,NA,NA,"1,420",NA,NA,1.4,6.1,79.5,0.954656862745098,"Asia","Western Asia",NA,"0",1,"missing"
"874","United Kingdom","2005",79.9,0.8,-0.8,"7,501",12.4,15.6,NA,NA,NA,NA,"Europe","Northern Europe",NA,"0",1,"0"
"875","United Kingdom","2010",81.3,1.3,-0.5,"8,044",12.7,15.6,1.9,4.4,80.4,0.952612393681653,"Europe","Northern Europe",NA,"0",1,"0"
"876","United Kingdom","2015",82.6,1,-0.8,"8,661",13.2,16,1.8,3.9,80.9,0.956469165659008,"Europe","Northern Europe",NA,"0",1,"0"
"877","United Kingdom","2018",83.4,NA,NA,"9,046",NA,NA,1.7,3.9,81.2,0.955421686746988,"Europe","Northern Europe",NA,"0",1,"missing"
"878","United Rep. of Tanzania","2005",24.8,5,2.2,NA,NA,NA,NA,NA,NA,NA,"Africa","Sub-Saharan Africa",NA,"0",1,"1"
"879","United Rep. of Tanzania","2010",28.1,5.6,2.2,NA,NA,NA,5.3,49.5,60.1,0.94345718901454,"Africa","Sub-Saharan Africa",NA,"0",1,"1"
"880","United Rep. of Tanzania","2015",31.6,5.5,2.1,NA,NA,NA,5.1,41.1,64.7,0.93134328358209,"Africa","Sub-Saharan Africa",NA,"0",1,"1"
"881","United Rep. of Tanzania","2018",33.8,NA,NA,"262",NA,NA,5,38.6,66,0.936950146627566,"Africa","Sub-Saharan Africa",262,"1",262,"missing"
"882","United States of America","2005",79.9,1.1,0.1,"4,264",1.4,1.8,NA,NA,NA,NA,"Americas","Northern America",NA,"0",1,"1"
"883","United States of America","2010",80.8,1.1,0,"4,604",1.5,1.8,1.9,6.2,78.8,0.939655172413793,"Americas","Northern America",NA,"0",1,"1"
"884","United States of America","2015",81.7,0.9,-0.2,"4,972",1.6,1.9,1.8,5.9,78.9,0.939729397293973,"Americas","Northern America",NA,"0",1,"0"
"885","United States of America","2018",82.3,NA,NA,"5,207",NA,NA,1.8,5.7,78.8,0.937346437346437,"Americas","Northern America",NA,"0",1,"missing"
"886","United States Virgin Islands","2005",93.7,0.1,-3.3,NA,NA,NA,NA,NA,NA,NA,"Americas","Latin America and the Caribbean",NA,"0",1,"0"
"887","United States Virgin Islands","2010",94.6,-0.1,-3.5,NA,NA,NA,2.5,7.6,73.3,0.889460154241645,"Americas","Latin America and the Caribbean",NA,"0",1,"0"
"888","United States Virgin Islands","2015",95.4,-0.1,-3.2,NA,NA,NA,2.2,6.4,74.7,0.870485678704857,"Americas","Latin America and the Caribbean",NA,"0",1,"0"
"889","United States Virgin Islands","2018",95.7,NA,NA,"52",NA,NA,NA,NA,NA,NA,"Americas","Latin America and the Caribbean",52,"1",52,"missing"
"890","Uruguay","2005",93.3,0.3,-3.5,"1,613",48.5,52,NA,NA,NA,NA,"Americas","Latin America and the Caribbean",NA,"0",1,"0"
"891","Uruguay","2010",94.4,0.5,-3.3,"1,659",49.2,52.1,2,9.3,76.9,0.897404202719407,"Americas","Latin America and the Caribbean",NA,"0",1,"0"
"892","Uruguay","2015",95,0.5,-2.1,"1,707",49.8,52.4,2,7.6,77.5,0.901719901719902,"Americas","Latin America and the Caribbean",NA,"0",1,"0"
"893","Uruguay","2018",95.3,NA,NA,"1,737",NA,NA,1.8,6.1,77.6,0.906519065190652,"Americas","Latin America and the Caribbean",NA,"0",1,"missing"
"894","Uzbekistan","2005",48.5,2.3,0.4,"2,169",8.2,16.9,NA,NA,NA,NA,"Asia","Central Asia",NA,"0",1,"1"
"895","Uzbekistan","2010",51,2.5,0.6,"2,244",7.8,15.4,2.4,25.1,69.2,0.928969359331476,"Asia","Central Asia",NA,"0",1,"1"
"896","Uzbekistan","2015",50.8,1.5,1.7,"2,379",7.7,15.1,2.5,17.1,70.5,0.923601637107776,"Asia","Central Asia",NA,"0",1,"1"
"897","Uzbekistan","2018",50.5,NA,NA,"2,464",NA,NA,2.5,15,71,0.925474254742547,"Asia","Central Asia",NA,"0",1,"missing"
"898","Vanuatu","2005",23.1,3.7,2.1,NA,NA,NA,NA,NA,NA,NA,"Oceania","Melanesia",NA,"0",1,"1"
"899","Vanuatu","2010",24.5,3.6,2.1,NA,NA,NA,4.2,24.1,69.6,0.937586685159501,"Oceania","Melanesia",NA,"0",1,"1"
"900","Vanuatu","2015",25,2.7,2.1,NA,NA,NA,4,23.5,69.5,0.94019471488178,"Oceania","Melanesia",NA,"0",1,"1"
"901","Vanuatu","2018",25.3,NA,NA,"53",NA,NA,3.9,22.3,69.7,0.934993084370678,"Oceania","Melanesia",53,"1",53,"missing"
"902","Venezuela (Boliv. Rep. of)","2005",88,1.9,1.1,"2,886",10.8,12.3,NA,NA,NA,NA,"Americas","Latin America and the Caribbean",NA,"0",1,"1"
"903","Venezuela (Boliv. Rep. of)","2010",88.1,1.6,1.4,"2,899",10,11.3,2.5,14.5,72.9,0.893644617380026,"Americas","Latin America and the Caribbean",NA,"0",1,"1"
"904","Venezuela (Boliv. Rep. of)","2015",88.2,1.4,1.3,"2,920",9.4,10.6,2.3,15.5,73,0.893782383419689,"Americas","Latin America and the Caribbean",NA,"0",1,"1"
"905","Venezuela (Boliv. Rep. of)","2018",88.2,NA,NA,"2,935",NA,NA,2.3,15.8,71.9,0.891076115485564,"Americas","Latin America and the Caribbean",NA,"0",1,"missing"
"906","Viet Nam","2005",27.3,3.2,0.2,"2,160",2.6,9.4,NA,NA,NA,NA,"Asia","South-eastern Asia",NA,"0",1,"1"
"907","Viet Nam","2010",30.4,3.1,0.1,"2,811",3.2,10.4,1.9,18,73.5,0.878671775223499,"Asia","South-eastern Asia",NA,"0",1,"1"
"908","Viet Nam","2015",33.8,3.2,0.1,"3,657",3.9,11.6,2,17.2,73.9,0.878017789072427,"Asia","South-eastern Asia",NA,"0",1,"1"
"909","Viet Nam","2018",35.9,NA,NA,"4,283",NA,NA,1.9,16.9,74,0.880559085133418,"Asia","South-eastern Asia",NA,"0",1,"missing"
"910","Wallis and Futuna Islands","2005",0,0,0.1,NA,NA,NA,NA,NA,NA,NA,"Oceania","Polynesia",NA,"0",1,"1"
"911","Wallis and Futuna Islands","2010",0,0,-1.6,NA,NA,NA,2.1,14.7,75.5,0.925031766200762,"Oceania","Polynesia",NA,"0",1,"0"
"912","Wallis and Futuna Islands","2015",0,0,-2.1,NA,NA,NA,2.1,11.9,78,0.985987261146497,"Oceania","Polynesia",NA,"0",1,"0"
"913","Wallis and Futuna Islands","2018",0,NA,NA,"1",NA,NA,NA,NA,NA,NA,"Oceania","Polynesia",1,"1",1,"missing"
"914","Western Sahara","2005",86,6.7,6.3,NA,NA,NA,NA,NA,NA,NA,"Africa","Northern Africa",NA,"0",1,"1"
"915","Western Sahara","2010",86.3,1.9,1.5,NA,NA,NA,2.9,37.9,67.5,0.951008645533141,"Africa","Northern Africa",NA,"0",1,"1"
"916","Western Sahara","2015",86.5,1.9,1.5,NA,NA,NA,2.5,30.8,69.3,0.949509116409537,"Africa","Northern Africa",NA,"0",1,"1"
"917","Western Sahara","2018",86.7,NA,NA,"232",NA,NA,NA,NA,NA,NA,"Africa","Northern Africa",232,"1",232,"missing"
"918","Yemen","2005",28.9,4.8,2.1,"1,741",8.5,29.2,NA,NA,NA,NA,"Asia","Western Asia",NA,"0",1,"1"
"919","Yemen","2010",31.8,4.6,1.9,"2,084",8.8,27.8,4.9,45.7,67.3,0.939481268011527,"Asia","Western Asia",NA,"0",1,"1"
"920","Yemen","2015",34.8,4.4,1.7,"2,495",9.3,26.7,4.3,46.3,65.9,0.914368650217707,"Asia","Western Asia",NA,"0",1,"1"
"921","Yemen","2018",36.6,NA,NA,"2,779",NA,NA,4.1,46.1,66,0.914492753623188,"Asia","Western Asia",NA,"0",1,"missing"
