"","country","year","urban_pop_percent","urban_growth","rural_growth","cap_city_pop","cap_percent_pop","cap_percent_urban","fertility_rate","infant_morality_per_thousand","life_exp","gender_ratio_lifeexp","continent","region","capital_pop","capital_pop_sign","capital_pop1","sign"
"610","Niue","2010",38.7,1.2,-1.7,NA,NA,NA,2.9,27.4,68.4,0.94468085106383,"Oceania","Polynesia",NA,"0",1,"0"
"611","Niue","2015",42.6,1.9,-1.3,NA,NA,NA,2.7,23.9,70.1,0.959497206703911,"Oceania","Polynesia",NA,"0",1,"0"
"612","Niue","2018",44.8,NA,NA,"1",NA,NA,NA,NA,NA,NA,"Oceania","Polynesia",1,"1",1,"missing"
"613","Northern Mariana Islands","2005",90.6,-1.5,-2.5,NA,NA,NA,NA,NA,NA,NA,"Oceania","Micronesia",NA,"0",1,"0"
"614","Northern Mariana Islands","2010",90.9,-3.1,-4,"4",NA,NA,2.9,5.7,77.4,0.954659949622166,"Oceania","Micronesia",4,"1",4,"0"
"615","Northern Mariana Islands","2015",91.4,0.2,-0.8,NA,NA,NA,2.5,7.3,76.8,0.955583756345178,"Oceania","Micronesia",NA,"0",1,"0"
"616","Northern Mariana Islands","2018",91.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Oceania","Micronesia",NA,"0",1,"missing"
"617","Norway","2005",77.7,1,-0.8,"818",17.7,22.7,NA,NA,NA,NA,"Europe","Northern Europe",818,"1",818,"0"
"618","Norway","2010",79.1,1.4,-0.3,"898",18.4,23.2,1.9,2.8,81,0.947115384615385,"Europe","Northern Europe",898,"1",898,"0"
"619","Norway","2015",81.1,1.7,-0.8,"969",18.6,23,1.7,2.3,82.3,0.956004756242569,"Europe","Northern Europe",969,"1",969,"0"
"620","Norway","2018",82.2,NA,NA,"1,012",NA,NA,1.6,2.2,82.6,0.959667852906287,"Europe","Northern Europe",NA,"0",1,"missing"
"621","Oman","2005",72.4,2.3,1.4,"622",24.8,34.2,NA,NA,NA,NA,"Asia","Western Asia",622,"1",622,"1"
"622","Oman","2010",75.2,4.6,1.7,"721",23.7,31.6,2.9,10,76.3,0.95031847133758,"Asia","Western Asia",721,"1",721,"1"
"623","Oman","2015",81.4,8,0.7,"1,180",28.1,34.6,3,9.6,77.7,0.959748427672956,"Asia","Western Asia",NA,"0",1,"1"
"624","Oman","2018",84.5,NA,NA,"1,447",NA,NA,2.9,9.5,77.9,0.958646616541353,"Asia","Western Asia",NA,"0",1,"missing"
